Modelo,Distancia de carrera requerida para despegue,Altitud a la que se realiza el crucero,Velocidad a la que se realiza el crucero (m/s TAS),Techo de servicio máximo,Velocidad de pérdida limpia (m/s CAS),Área del ala,Relación de aspecto del ala,Longitud del fuselaje,Profundidad del fuselaje,Ancho del fuselaje,Peso máximo al despegue (MTOW),Alcance de la aeronave (km),Autonomía de la aeronave (h),Velocidad máxima (m/s IAS),Velocidad de pérdida (m/s CAS),Tasa de ascenso,Radio de giro,Envergadura,Cuerda,Payload,duracion en VTOL,Velocidad crucero (m/s IAS),Battery Weight,Peso frame,Peso vacio - fuel y battery,Peso Vacio (MTOW - payload),Maximum Crosswind (rachas),Maximum Crosswind (sostenido),Rango de comunicación,Wing Loading,Potencia específica (P/W),Capacidad combustible,Consumo,Potencia Watts,Potencia HP,Precio,Tiempo de emergencia en vuelo,Despegue,Propulsión horizontal,Propulsión vertical,Cantidad de motores propulsión vertical,Cantidad de motores propulsión horizontal,Misión,Clase,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,aeronave,dv_Peso máximo al despegue (MTOW),viol_Peso máximo al despegue (MTOW),dv_Autonomía de la aeronave (h),viol_Autonomía de la aeronave (h),dv_Velocidad crucero (m/s IAS),viol_Velocidad crucero (m/s IAS),distancia,similitud,distancia_media,similitud_media,segmento
,,,,,,,,,,,30.0,,12.0,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Objetivo (usuario),0.0,False,0.0,False,0.0,False,0.0,1.0,0.0,1.0,(selección)
Transition,Nan,Nan,21.55,13000,13,0.9618594019287705,Nan,2.3,Nan,Nan,18.0,864,12,30,13,Nan,Nan,3,Nan,1.5,0.05,20,Nan,5.8,11.8,16.5,Nan,15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Transition,0.0,False,0.0,False,0.0,False,0.0,1.0,0.0,1.0,Vigilancia / fotogrametría y carga
JOUAV CW-30E,Nan,Nan,26.93,20000,Nan,Nan,Nan,2.3,Nan,Nan,38.0,720,8,Nan,Nan,Nan,Nan,4.4,Nan,10,Nan,25,Nan,Nan,Nan,28,Nan,Nan,200,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,4.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-30E,0.19184652278177458,True,0.0,False,0.0,False,0.19184652278177458,0.8254335440146956,0.0639488409272582,0.9380529882242508,Vigilancia / fotogrametría y carga
Ascend,Nan,Nan,21.55,10000,13,Nan,Nan,1.562,Nan,Nan,9.5,432,6,30,13,Nan,Nan,2,Nan,0.6,0.05,20,Nan,3,6,8.9,Nan,15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Ascend,0.0,False,0.22099447513812154,True,0.0,False,0.22099447513812154,0.8017211096763555,0.07366482504604051,0.9289830135038761,Vigilancia / fotogrametría y carga
JOUAV CW-25 ,Nan,Nan,Nan,22000,Nan,Nan,Nan,Nan,Nan,Nan,29.5,Nan,6,Nan,Nan,Nan,Nan,Nan,Nan,6,Nan,23,Nan,Nan,Nan,Nan,Nan,Nan,200,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-25 ,0.0,False,0.22099447513812154,True,0.0,False,0.22099447513812154,0.8017211096763555,0.07366482504604051,0.9289830135038761,Vigilancia / fotogrametría y carga
Aliaca UAS ER,Nan,Nan,19.39,Nan,Nan,1.1582832,15.21736414563707,2.1,Nan,0.1811749229168133,16.0,388.8,6,Nan,Nan,Nan,Nan,3.6,0.2389999999999999,1.5,Nan,18,Nan,Nan,Nan,14.5,Nan,Nan,100,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,0.0,0.0,1.0,1.0,1.0,,,,,Aliaca UAS ER,0.0,False,0.22099447513812154,True,0.0,False,0.22099447513812154,0.8017211096763555,0.07366482504604051,0.9289830135038761,Vigilancia / fotogrametría y carga
Stalker VXE30 Fuel Cell,Nan,Nan,17.34,12000,Nan,1.1582832,15.32644883465186,2.5908,Nan,0.2,19.95,433,8,25.034211403264,Nan,Nan,Nan,4.8768,0.31819504,2.494756,Nan,16.093421616384,Nan,Nan,Nan,17.46,Nan,Nan,100,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,Stalker VXE30 Fuel Cell,0.0,False,0.0,False,0.23684203523180133,True,0.23684203523180133,0.7891159306878482,0.07894734507726711,0.9240885809769023,Vigilancia / fotogrametría y carga
Volitation VT370,Nan,Nan,26.93,17000,Nan,2.037590008568727,Nan,2.02,Nan,Nan,40.0,1350,15,33,Nan,Nan,Nan,6.5,Nan,18,Nan,25,Nan,Nan,Nan,22,Nan,Nan,Nan,Nan,Nan,13,0.96,Nan,Nan,8999,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Volitation VT370,0.2398081534772182,True,0.0,False,0.0,False,0.2398081534772182,0.786778787363302,0.07993605115907274,0.9231753804945895,Vigilancia / fotogrametría y carga
JOUAV CW-25H,Nan,Nan,23.92,Nan,Nan,Nan,Nan,2.1,Nan,Nan,31.0,435,5.5,Nan,Nan,Nan,Nan,4.4,Nan,4,Nan,22.2,Nan,Nan,Nan,27,Nan,Nan,100,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,4.0,1.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-25H,0.023980815347721823,True,0.2762430939226519,True,0.0,False,0.30022390927037373,0.7406523631836541,0.10007463642345792,0.9047698867274455,Vigilancia / fotogrametría y carga
DOOSAN DJ25,Nan,Nan,23.7,19500,Nan,Nan,Nan,2.1,Nan,Nan,31.0,500,5.5,Nan,Nan,Nan,Nan,4.4,Nan,4,Nan,22,Nan,Nan,Nan,27,17.1,13,200,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,4.0,4.0,4.0,1.0,1.0,3.0,,,,,DOOSAN DJ25,0.023980815347721823,True,0.2762430939226519,True,0.0,False,0.30022390927037373,0.7406523631836541,0.10007463642345792,0.9047698867274455,Vigilancia / fotogrametría y carga
